n,method,matrix,residual,solution_error,iterations
30,Seidel,Hilbert,4.734444763066903e-05,0.1953017110379477,1000
31,Gaussian,Hilbert,3.612918874134725e-15,137.47646526750702,-
31,Seidel,Hilbert,4.7147579484296846e-05,0.20248577305540216,1000
32,Gaussian,Hilbert,5.471721533801425e-15,212.4770028032151,-
32,Seidel,Hilbert,4.646671541472763e-05,0.21115636477594224,1000
33,Gaussian,Hilbert,5.333694441429199e-15,243.68539683740696,-
33,Seidel,Hilbert,4.534511703677702e-05,0.22095275202915937,1000
34,Gaussian,Hilbert,3.5397838074244373e-14,1626.6466715741485,-
34,Seidel,Hilbert,4.383620940490549e-05,0.2315099942288581,1000
35,Gaussian,Hilbert,2.6517834400543865e-14,1104.8616346726233,-
35,Seidel,Hilbert,4.200312138838015e-05,0.24248994462716902,1000
36,Gaussian,Hilbert,2.2153484374563434e-13,11991.229600362529,-
36,Seidel,Hilbert,3.991884792025355e-05,0.2535973864906477,1000
37,Gaussian,Hilbert,8.013626399180835e-15,351.89919328620414,-
37,Seidel,Hilbert,3.7667198412501425e-05,0.26458554754709496,1000
38,Gaussian,Hilbert,6.295072242294902e-15,344.40208687268057,-
38,Seidel,Hilbert,3.534457797139284e-05,0.2752552278798293,1000
39,Gaussian,Hilbert,2.030888952932061e-14,850.345074042871,-
39,Seidel,Hilbert,3.306232221556376e-05,0.2854506838575843,1000
40,Gaussian,Hilbert,4.9038690498010634e-15,342.8359628860564,-
40,Seidel,Hilbert,3.094854314455917e-05,0.2950542433090144,1000
41,Gaussian,Hilbert,1.0680091596718666e-14,671.4015969815512,-
41,Seidel,Hilbert,2.914701761846323e-05,0.30398074975950384,1000
42,Gaussian,Hilbert,7.971988878370802e-15,276.44398739616486,-
42,Seidel,Hilbert,2.780890544089613e-05,0.31217237496137606,1000
43,Gaussian,Hilbert,4.8424054361127774e-14,3010.566774251171,-
43,Seidel,Hilbert,2.707314417735088e-05,0.3195940186651486,1000
44,Gaussian,Hilbert,2.059156955057807e-15,115.34768637894005,-
44,Seidel,Hilbert,2.7037127729646964e-05,0.32622934646479085,1000
45,Gaussian,Hilbert,6.045365714718357e-15,325.70654152778434,-
45,Seidel,Hilbert,2.773049499333516e-05,0.3320774353748299,1000
46,Gaussian,Hilbert,2.2697477280876327e-14,1350.6059890628492,-
46,Seidel,Hilbert,2.910957158923354e-05,0.337149963424364,1000
47,Gaussian,Hilbert,4.837108066691834e-14,2173.5877570314597,-
47,Seidel,Hilbert,3.107689348216581e-05,0.34146886999691034,1000
48,Gaussian,Hilbert,4.236341062022511e-15,263.4643675616837,-
48,Seidel,Hilbert,3.351188945092177e-05,0.3450644152344771,1000
49,Gaussian,Hilbert,2.8363319374749828e-14,1679.1812280139663,-
49,Seidel,Hilbert,3.6296009095262364e-05,0.3479735734426954,1000
50,Gaussian,Hilbert,1.1668438707063127e-14,511.2145508418809,-
50,Seidel,Hilbert,3.932594087082998e-05,0.3502387031648985,1000
