n,method,matrix,residual,solution_error,iterations
11,Jacobi,DiagDominant,4.854179097986364e-06,1.4698202905506975e-07,13
11,Seidel,DiagDominant,1.3361360767921024e-06,5.981401854386887e-08,9
12,Gaussian,DiagDominant,2.409567650518791e-14,8.08254562088053e-16,-
12,Jacobi,DiagDominant,1.7031990626488093e-06,6.484143169174057e-08,14
12,Seidel,DiagDominant,1.1676729193072546e-06,5.813619633685144e-08,9
13,Gaussian,DiagDominant,3.260957681782951e-14,9.678699938266253e-16,-
13,Jacobi,DiagDominant,8.849636352972567e-06,2.6602685174253515e-07,13
13,Seidel,DiagDominant,1.0395499060224309e-06,2.9518586612513127e-08,9
14,Gaussian,DiagDominant,3.759838749409412e-14,8.599750569898517e-16,-
14,Jacobi,DiagDominant,4.503161280496572e-06,1.3278581001695125e-07,13
14,Seidel,DiagDominant,1.247842533612689e-06,3.0033607907970555e-08,10
15,Gaussian,DiagDominant,3.31375071492659e-14,9.28879225241625e-16,-
15,Jacobi,DiagDominant,3.9625704102951275e-06,9.029414846954976e-08,13
15,Seidel,DiagDominant,5.221682218231085e-06,1.2672736481994917e-07,11
16,Gaussian,DiagDominant,4.050716828981883e-14,8.881784197001252e-16,-
16,Jacobi,DiagDominant,7.860525705543602e-06,2.0758335425869077e-07,13
16,Seidel,DiagDominant,1.5457739910738438e-06,4.03936771476815e-08,9
17,Gaussian,DiagDominant,3.499017183300205e-14,9.354905487120434e-16,-
17,Jacobi,DiagDominant,6.851293862187052e-06,1.4877525814699756e-07,14
17,Seidel,DiagDominant,6.38786740361091e-07,1.4154939170763424e-08,9
18,Gaussian,DiagDominant,4.05460987825042e-14,8.005932084973442e-16,-
18,Jacobi,DiagDominant,6.331440075883941e-06,1.0986038939215202e-07,13
18,Seidel,DiagDominant,3.5395317433545568e-06,6.762682242160668e-08,9
19,Gaussian,DiagDominant,4.819135301037582e-14,9.28879225241625e-16,-
19,Jacobi,DiagDominant,9.269582925215173e-06,2.1176239291370345e-07,13
19,Seidel,DiagDominant,6.021988159743437e-07,1.2070255203942343e-08,9
20,Gaussian,DiagDominant,6.245100732104073e-14,1.1430445635548515e-15,-
20,Jacobi,DiagDominant,5.6922141684085655e-06,1.1973808055013933e-07,12
20,Seidel,DiagDominant,5.372964567398094e-06,1.3338357155777226e-07,8
21,Gaussian,DiagDominant,6.394884621840902e-14,1.3136335981433192e-15,-
21,Jacobi,DiagDominant,3.952254069534626e-06,6.83436504084565e-08,12
21,Seidel,DiagDominant,3.10086838446855e-06,5.210303215059792e-08,8
22,Gaussian,DiagDominant,8.225126821621292e-14,1.4936523181711914e-15,-
22,Jacobi,DiagDominant,7.022584645095599e-06,1.2973601508909118e-07,12
22,Seidel,DiagDominant,2.03401717590452e-06,4.2859853016444236e-08,9
23,Gaussian,DiagDominant,7.034014214903312e-14,9.61481343191782e-16,-
23,Jacobi,DiagDominant,1.115535930540047e-05,1.9511083918640482e-07,12
23,Seidel,DiagDominant,1.3874327765379374e-06,2.1609033608128984e-08,9
24,Gaussian,DiagDominant,7.45223508268219e-14,1.2755491433176288e-15,-
24,Jacobi,DiagDominant,5.597824458349544e-06,1.05464191580894e-07,12
24,Seidel,DiagDominant,9.490599752472621e-07,1.516714834962028e-08,9
25,Gaussian,DiagDominant,9.127086697919487e-14,1.7867348644430382e-15,-
25,Jacobi,DiagDominant,1.2360104802408053e-05,1.8210329373471162e-07,11
25,Seidel,DiagDominant,5.086771738626029e-06,7.733497779886637e-08,8
26,Gaussian,DiagDominant,1.3832790794717045e-13,2.0977046352944823e-15,-
26,Jacobi,DiagDominant,8.492997478003228e-06,1.1467723521789182e-07,11
26,Seidel,DiagDominant,4.334518839359294e-06,6.570907976600897e-08,8
27,Gaussian,DiagDominant,1.4228607195221903e-13,2.085919684541963e-15,-
27,Jacobi,DiagDominant,9.2857161158876e-06,1.7422349417605599e-07,11
27,Seidel,DiagDominant,1.0515399853524147e-06,1.9782346232074758e-08,9
28,Gaussian,DiagDominant,1.2449714480976035e-13,1.85775845048325e-15,-
28,Jacobi,DiagDominant,1.5782509499141925e-05,2.817261131974651e-07,11
28,Seidel,DiagDominant,7.1750797931294664e-06,1.162016532094062e-07,8
29,Gaussian,DiagDominant,1.1234667099445443e-13,1.5100665727558131e-15,-
29,Jacobi,DiagDominant,1.3343996204276075e-05,1.753547038335483e-07,11
29,Seidel,DiagDominant,4.1017393633905735e-06,5.7014535943047036e-08,8
30,Gaussian,DiagDominant,1.2770016692521884e-13,1.6504651808933464e-15,-
30,Jacobi,DiagDominant,9.598833097590434e-06,1.2522216698089957e-07,12
30,Seidel,DiagDominant,6.088393830446414e-06,8.50420025836039e-08,8
31,Gaussian,DiagDominant,1.2690699051270649e-13,1.5423711185402538e-15,-
31,Jacobi,DiagDominant,6.889571207193466e-06,7.07563312928353e-08,12
31,Seidel,DiagDominant,2.7088974837505935e-06,3.332919238355092e-08,8
32,Gaussian,DiagDominant,9.559374836295625e-14,1.6653345369377348e-15,-
32,Jacobi,DiagDominant,6.0787868504881e-06,7.544706481946168e-08,11
32,Seidel,DiagDominant,1.485793481642524e-06,1.6751556057632364e-08,8
33,Gaussian,DiagDominant,1.3043830727131805e-13,1.6467268631127714e-15,-
33,Jacobi,DiagDominant,8.496100989340206e-06,9.314588096115549e-08,11
33,Seidel,DiagDominant,3.4198467970241215e-06,3.979828844499761e-08,8
34,Gaussian,DiagDominant,1.2388735920980804e-13,1.6467268631127714e-15,-
34,Jacobi,DiagDominant,3.388118540016148e-06,4.163064483954423e-08,11
34,Seidel,DiagDominant,3.765357690497057e-06,4.3049377129892014e-08,8
35,Gaussian,DiagDominant,1.498891543130937e-13,1.877557501171774e-15,-
35,Jacobi,DiagDominant,8.655059663637267e-06,1.01683670339547e-07,11
35,Seidel,DiagDominant,4.505473934966742e-06,5.449891791710486e-08,8
36,Gaussian,DiagDominant,1.7008558762065923e-13,1.9325535822211317e-15,-
36,Jacobi,DiagDominant,6.289861528463443e-06,7.324745585251613e-08,11
36,Seidel,DiagDominant,1.2711303256731146e-06,1.3533154703684869e-08,8
37,Gaussian,DiagDominant,1.774935185039339e-13,1.877557501171774e-15,-
37,Jacobi,DiagDominant,1.7754661139648182e-05,2.1668417574460198e-07,10
37,Seidel,DiagDominant,3.3772801410029965e-06,3.8923773783558735e-08,8
38,Gaussian,DiagDominant,2.045820231286366e-13,1.9389211565826713e-15,-
38,Jacobi,DiagDominant,3.0665458208725528e-06,3.2265879260424234e-08,11
38,Seidel,DiagDominant,1.3359622721637121e-06,1.4858746602662226e-08,8
39,Gaussian,DiagDominant,1.664854851506445e-13,1.900395703982448e-15,-
39,Jacobi,DiagDominant,3.3622823581020257e-06,3.3211128310659604e-08,11
39,Seidel,DiagDominant,3.646829162134213e-06,3.690444409816264e-08,8
40,Gaussian,DiagDominant,1.9394042374125577e-13,1.7728839976828627e-15,-
40,Jacobi,DiagDominant,4.191690631371275e-06,4.199311827006101e-08,11
40,Seidel,DiagDominant,2.598460458815368e-06,2.6119058851082515e-08,8
41,Gaussian,DiagDominant,2.1221331569262359e-13,1.9984014443252818e-15,-
41,Jacobi,DiagDominant,3.684176933902523e-06,3.807195461347389e-08,11
41,Seidel,DiagDominant,1.1446303655080313e-06,1.0799140423884183e-08,8
42,Gaussian,DiagDominant,1.9639791959612656e-13,1.683736582170148e-15,-
42,Jacobi,DiagDominant,9.174627897913585e-06,9.885701204524614e-08,10
42,Seidel,DiagDominant,1.3238795204464827e-06,1.3683917720397507e-08,8
43,Gaussian,DiagDominant,2.3002277851331096e-13,2.2535066179978845e-15,-
43,Jacobi,DiagDominant,1.5509616940078817e-05,1.676615749444318e-07,10
43,Seidel,DiagDominant,8.774080639072929e-07,8.221995555881512e-09,8
44,Gaussian,DiagDominant,2.4116620165382783e-13,2.1006405424489063e-15,-
44,Jacobi,DiagDominant,1.7551941818765854e-05,1.600038030348027e-07,10
44,Seidel,DiagDominant,1.574941452208089e-06,1.5316134126129254e-08,8
45,Gaussian,DiagDominant,2.534158412022266e-13,2.286089127109703e-15,-
45,Jacobi,DiagDominant,9.118528869371543e-06,8.301008195655049e-08,10
45,Seidel,DiagDominant,8.628320287272045e-07,7.564794865894064e-09,8
46,Gaussian,DiagDominant,2.3046133520987916e-13,2.1585202619993173e-15,-
46,Jacobi,DiagDominant,1.3978511824050394e-05,1.2393726841545283e-07,10
46,Seidel,DiagDominant,2.1504295594420995e-06,1.8551300502285695e-08,8
